"Fishery_ShortName","Fishery","Region","GearType_specific","GearType_general","Year","Target","Target_HMS","Overfished_Fm","Overfished_Fm_numeric","Overfishing_Bt","Overfishing_Bt_numeric","TotalDiscards_FI_lbs","TotalDiscards_FI_inds","TotalBycatch_SS_inds","Discard_Rate","ESA_sp_num","ESA_FI_discards_lbs","ESA_FI_discards_inds","ESA_birdturt","IUCN_sp_num","IUCN_FI_discards_lbs","IUCN_FI_discards_inds","IUCN_birdturt","MMPA","VessPers","Fishery_Tier","CV_mean","CV_median","CV_max","NORM_TotalDiscards_lbs","NORM_TotalDiscards_inds","NORM_IUCN_lbs","NORM_IUCN_inds","NORM_ESA_inds","NORM_ESA_lbs","NORM_TotalBycatch_inds","NORM_Discard_Rate","NORM_ESA_num","NORM_ESA_birdturt","NORM_IUCN_num","NORM_IUCN_birdturt","NORM_MMPA","NORM_Tier","NORM_CV","NORM_TotalDiscards_Combined","NORM_ESA_Discards_Combined","NORM_IUCN_Discards_Combined","mean_criteria","criteria_sd","ncrit","criteria_se"
"SE: A/GOM HMS Pelagic Longline","Atlantic and Gulf of Mexico HMS Pelagic Longline","SE","surface longline","longline",2014,"Yellowfin tuna, Bigeye tuna, Swordfish","Y","None",0,"None, Yellowfin tuna approaching overfished",0,1757690,NA,544.1,0.153196132,3,0,NA,544.1,20,971950,NA,544.1,3,"84",2,NA,NA,NA,0.00594307458557185,NA,0.0870872142094902,NA,NA,0,0.073906547133931,0.182751846968767,0.5,0.446129878648737,0.444444444444444,0.446129878648737,1,0.333333333333333,NA,0.00594307458557185,0,0.0870872142094902,0.376643851497751,0.346524529987028,11,0.104481076965566
"SE: A/GOM HMS Pelagic Longline","Atlantic and Gulf of Mexico HMS Pelagic Longline","SE","surface longline","longline",2015,"Yellowfin tuna, Bigeye tuna, Swordfish","Y","None",0,"None, Yellowfin tuna approaching overfished",0,1225473,NA,542,0.136212582,2,0,NA,542,9,537805,NA,542,3,"83",2,NA,NA,NA,0.00414355059288298,NA,0.0481876014588558,NA,NA,0,0.0736212985601739,0.16249170665017,0.333333333333333,0.444408002623811,0.2,0.444408002623811,1,0.333333333333333,NA,0.00414355059288298,0,0.0481876014588558,0.336993902431364,0.350200384234864,11,0.105589388722303
"AK: BS Snow Crab Pot","Bering Sea Snow Crab Pot","AK","pots and traps","pots and traps",2014,"Snow crab","N","None",0,"None",0,9024447,NA,0,0.117253425,0,0,NA,0,16,0,NA,0,1,NA,NA,NA,NA,NA,0.0305133223802491,NA,0,NA,NA,0,0,0.139874810822011,0,0,0.355555555555556,0,0,NA,NA,0.0305133223802491,0,0,0.0478130626143469,0.11136596333225,10,0.0352170097948704
"AK: BS Snow Crab Pot","Bering Sea Snow Crab Pot","AK","pots and traps","pots and traps",2015,"Snow crab","N","None",0,"None",0,31724519.53,NA,0,0.438575324,0,0,NA,0,0,0,NA,0,1,NA,NA,NA,NA,NA,0.107266460956267,NA,0,NA,NA,0,0,0.523188473818161,0,0,0,0,0,NA,NA,0.107266460956267,0,0,0.0573140849794935,0.159283162016796,10,0.0503697584886693
"AK: BS Tanner Crab Pot","Bering Sea Tanner Crab Pot","AK","pots and traps","pots and traps",2014,"Southern Tanner crab","N","None",0,"None",0,10476843.37,NA,0,0.43326623,0,0,NA,0,16,0,NA,0,1,NA,NA,NA,NA,NA,0.0354241428063333,NA,0,NA,NA,0,0,0.516855110687095,0,0,0.355555555555556,0,0,NA,NA,0.0354241428063333,0,0,0.0825304371862712,0.180503105342526,10,0.057080093761569
"AK: BS Tanner Crab Pot","Bering Sea Tanner Crab Pot","AK","pots and traps","pots and traps",2015,"Southern Tanner crab","N","None",0,"None",0,18717984.54,NA,0,0.487958529,0,0,NA,0,0,0,NA,0,1,NA,NA,NA,NA,NA,0.0632889634763814,NA,0,NA,NA,0,0,0.582099046853956,0,0,0,0,0,NA,NA,0.0632889634763814,0,0,0.058671637302758,0.176246014975439,10,0.0557338835850532
"AK: BS/AI Catcher Processor Longline","Bering Sea/Aleutian Islands Catcher Processor Longline","AK","longline","longline",2010,"Pacific cod, Greenland halibut, Sablefish","Y","None",0,"None",0,21989819.04,NA,3022,0.092664042,1,0,NA,15,3,0,NA,65,2,"83",1,NA,NA,NA,0.0743516403222115,NA,0,NA,NA,0,0.410486280901929,0.11054146473549,0.166666666666667,0.0122991144637586,0.0666666666666667,0.0532961626762873,0.5,0,NA,0.0743516403222115,0,0,0.157858999702751,0.197467109144905,11,0.0595385735881643
"AK: BS/AI Catcher Processor Longline","Bering Sea/Aleutian Islands Catcher Processor Longline","AK","longline","longline",2011,"Pacific cod, Greenland halibut, Sablefish","Y","None",0,"None",0,52543324.93,NA,7362,0.158395725,1,0,NA,5,3,0,NA,38,2,"83",1,NA,NA,NA,0.177658687841955,NA,0,NA,NA,0,1,0.188954583368378,0.166666666666667,0.00409970482125287,0.0666666666666667,0.0311577566415218,0.5,0,NA,0.177658687841955,0,0,0.21960033883387,0.30711329511852,11,0.0925981425488924
"AK: BS/AI Catcher Processor Longline","Bering Sea/Aleutian Islands Catcher Processor Longline","AK","longline","longline",2012,"Pacific cod, Greenland halibut, Sablefish","Y","None",0,"None",0,52316063.14,NA,4403,0.143182723,0,0,NA,0,1,0,NA,34,2,"505",1,NA,NA,NA,0.176890273748219,NA,0,NA,NA,0,0.598071176310785,0.170806578081667,0,0,0.0222222222222222,0.0278779927845195,0.5,0,NA,0.176890273748219,0,0,0.166322353595618,0.232868604873738,11,0.0702125261654288
"AK: BS/AI Catcher Processor Longline","Bering Sea/Aleutian Islands Catcher Processor Longline","AK","longline","longline",2013,"Pacific cod, Greenland halibut, Sablefish","Y","None",0,"None",0,53617948.71,NA,3426,0.153584612,0,0,NA,0,1,0,NA,4,1,"510",1,NA,NA,NA,0.181292189355857,NA,0,NA,NA,0,0.465362673186634,0.183215275363359,0,0,0.0222222222222222,0.0032797638570023,0,0,NA,0.181292189355857,0,0,0.0712810103320895,0.143322092595302,11,0.0432132368461084
"AK: BS/AI Catcher Processor Longline","Bering Sea/Aleutian Islands Catcher Processor Longline","AK","longline","longline",2014,"Pacific cod, Greenland halibut, Sablefish","Y","None",0,"None",0,53267849.07,NA,1406,0.151367776,1,0,NA,9,18,0,NA,39,1,NA,1,NA,NA,NA,0.180108437799609,NA,0,NA,NA,0,0.190980711763108,0.180570751195955,0.166666666666667,0.00737946867825517,0.4,0.0319776976057724,0,0,NA,0.180108437799609,0,0,0.0964736444757805,0.128429801127647,11,0.0387230420218517
"AK: BS/AI Catcher Processor Longline","Bering Sea/Aleutian Islands Catcher Processor Longline","AK","longline","longline",2015,"Pacific cod, Greenland halibut, Sablefish","Y","None",0,"None",0,59630360.15,NA,4219,0.159614407,0,0,NA,0,2,0,NA,103,1,NA,1,NA,NA,NA,0.201621263098704,NA,0,NA,NA,0,0.573077967943494,0.19040838238706,0,0,0.0444444444444444,0.0844539193178091,0,0,NA,0.201621263098704,0,0,0.0911671647659593,0.170437047194712,11,0.0513887032655414
"AK: BS/AI Catcher Vessel Longline","Bering Sea/Aleutian Islands Catcher Vessel Longline","AK","longline","longline",2010,"Sablefish, Pacific cod, Pacific halibut","Y","Pacific halibut undefined",0,"None",0,NA,NA,276,NA,0,NA,NA,0,1,NA,NA,139,1,"2812",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0374898125509372,NA,0,0,0.0222222222222222,0.11397179403083,0,0.333333333333333,NA,NA,NA,NA,0.0633771452671653,0.117924454042717,7,0.0445712541271564
"AK: BS/AI Catcher Vessel Longline","Bering Sea/Aleutian Islands Catcher Vessel Longline","AK","longline","longline",2011,"Sablefish, Pacific cod, Pacific halibut","Y","Pacific halibut undefined",0,"None",0,NA,NA,99,NA,0,NA,NA,0,2,NA,NA,16,1,"2549",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0134474327628362,NA,0,0,0.0444444444444444,0.0131190554280092,0,0.333333333333333,NA,NA,NA,NA,0.0505430332460779,0.117380405417983,7,0.0443656230754173
"AK: BS/AI Catcher Vessel Longline","Bering Sea/Aleutian Islands Catcher Vessel Longline","AK","longline","longline",2012,"Sablefish, Pacific cod, Pacific halibut","Y","Pacific halibut undefined",0,"None",0,NA,NA,103,NA,0,NA,NA,0,1,NA,NA,90,1,"2549",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0139907633795164,NA,0,0,0.0222222222222222,0.0737946867825517,0,0.333333333333333,NA,NA,NA,NA,0.055417625714703,0.117175038177327,7,0.0442880015545296
"AK: BS/AI Catcher Vessel Longline","Bering Sea/Aleutian Islands Catcher Vessel Longline","AK","longline","longline",2013,"Sablefish, Pacific cod, Pacific halibut","Y","Pacific halibut undefined",0,"None",0,24588573.61,NA,326,0.446535077,0,0,NA,0,4,0,NA,187,1,"2308",2,NA,NA,NA,0.0831385095876142,NA,0,NA,NA,0,0.0442814452594404,0.532683880413448,0,0,0.0888888888888889,0.153328960314857,0,0.333333333333333,NA,0.0831385095876142,0,0,0.102971251483132,0.168589664832218,11,0.0508316965254765
